"original_language","avg_vote"
"lv","8.7"
"xx","8.4"
"mk","8.1"
"ab","8.0"
"sh","7.9"
"ka","7.9"
"et","7.8"
"bs","7.7"
"fa","7.68"
"la","7.6"
"hu","7.5"
"cs","7.43"
"ms","7.4"
"tr","7.38"
"sv","7.35"
"vi","7.3"
"pl","7.19"
"el","7.15"
"ro","7.0"
"ja","6.95"
"de","6.93"
"fi","6.87"
"da","6.87"
"hi","6.86"
"no","6.85"
"is","6.8"
"it","6.8"
"uk","6.8"
"cn","6.74"
"ru","6.71"
"nb","6.7"
"th","6.67"
"pt","6.65"
"fr","6.63"
"es","6.58"
"af","6.55"
"he","6.53"
"ko","6.51"
"tl","6.42"
"ml","6.38"
"zh","6.36"
"ar","6.23"
"en","6.23"
"eu","6.2"
"sr","6.1"
"nl","5.94"
"sq","5.5"
"ta","5.48"
"te","5.08"
"mr","5.0"
"id","4.22"
"pa","0.0"
