"original_language","count"
"en","8325"
"fr","385"
"ja","268"
"it","152"
"es","145"
"de","96"
"ko","92"
"cn","72"
"zh","71"
"hi","70"
"ru","69"
"da","32"
"sv","30"
"pt","22"
"id","21"
"ta","18"
"no","13"
"nl","13"
"tr","12"
"pl","10"
"th","9"
"tl","9"
"sr","6"
"ar","6"
"fa","5"
"te","5"
"ml","4"
"he","4"
"cs","4"
"hu","3"
"fi","3"
"ro","2"
"af","2"
"el","2"
"is","1"
"sh","1"
"pa","1"
"mk","1"
"vi","1"
"la","1"
"ms","1"
"bs","1"
"ka","1"
"et","1"
"sq","1"
"lv","1"
"nb","1"
"mr","1"
"ab","1"
"uk","1"
"eu","1"
"xx","1"
